number of cluster: 333
1 : size: 17 :{YHR027C,YEL037C,YKL145W,YER012W,YFR004W,YOR261C,YDR427W,YFR052W,YDL147W,YGL048C,YDL097C,YDR394W,YOR259C,YOR117W,YHR200W,YGL004C,YDL007W}
2 : size: 13 :{YNL172W,YFR036W,YHR166C,YLR102C,YGR225W,YBL084C,YGL240W,YLR127C,YOL133W,YDR118W,YDL008W,YKL022C,YOR249C}
3 : size: 13 :{YJL124C,YJR022W,YMR268C,YER146W,YDR378C,YLR147C,YOL149W,YBL026W,YER112W,YNL147W,YPR178W,YCR077C,YLR438C-A}
4 : size: 12 :{YPL042C,YAL021C,YER068W,YPR072W,YNL025C,YDR443C,YGR134W,YCR093W,YNL288W,YIL038C,YNR052C,YDL165W}
5 : size: 12 :{YKL059C,YLR115W,YPR107C,YJR093C,YMR061W,YKL018W,YDR228C,YDR301W,YKR002W,YNL317W,YLR277C,YAL043C}
6 : size: 11 :{YGL112C,YDR176W,YGR274C,YGR252W,YDR448W,YEL009C,YBR198C,YPL181W,YMR236W,YDR216W,YBR081C}
7 : size: 10 :{YGL172W,YGR119C,YKL068W,YGL092W,YDL116W,YDR335W,YKR082W,YJR042W,YDR192C,YMR047C}
8 : size: 9 :{YOR144C,YJR068W,YBR087W,YNL290W,YOR217W,YBR088C,YHR191C,YOL094C,YMR078C}
9 : size: 9 :{YKL016C,YML081C-A,YBL099W,YPL078C,YPR020W,YDR377W,Q0085,YDR298C,YJR121W}
10 : size: 9 :{YDL225W,YCL024W,YDR507C,YHR107C,YDR409W,YNL166C,YJR076C,YCR002C,YLR314C}
11 : size: 9 :{YDL192W,YNL287W,YIL076W,YDL145C,YLR078C,YDR238C,YLR268W,YFR051C,YIL004C}
12 : size: 9 :{YGL022W,YBL105C,YOR103C,YMR149W,YEL002C,YJL002C,YDL232W,YOR085W,YGL226C-A}
13 : size: 8 :{YGL161C,YGR172C,YFL005W,YFL038C,YGL198W,YNL263C,YER031C,YML001W}
14 : size: 8 :{YGR129W,YJR050W,YDR416W,YLR117C,YMR213W,YPR101W,YLL036C,YBR188C}
15 : size: 8 :{YLR291C,YER025W,YOR260W,YGR083C,YKR026C,YJR007W,YPL237W,YDR211W}
16 : size: 8 :{YLR384C,YGR200C,YKL110C,YPL101W,YLR327C,YMR312W,YHR187W,YPL086C}
17 : size: 8 :{YOR123C,YDL140C,YBR279W,YLR418C,YGL244W,YML010W,YPL129W,YOL145C}
18 : size: 7 :{YDR155C,YBR103W,YGL194C,YOL068C,YKR029C,YCR033W,YIL112W}
19 : size: 7 :{YIL118W,YGL207W,YGL019W,YIL035C,YOR061W,YKL112W,YOR039W}
20 : size: 7 :{YML109W,YDR309C,YKL082C,YNL298W,YHR061C,YMR273C,YPL115C}
21 : size: 7 :{YPR190C,YOR207C,YNR003C,YOR116C,YPR110C,YKL144C,YNL113W}
22 : size: 7 :{YBR060C,YML065W,YPR162C,YJL194W,YNL261W,YLL004W,YHR118C}
23 : size: 7 :{YOR157C,YER094C,YGL011C,YJL001W,YML092C,YDL188C,YPR103W}
24 : size: 7 :{YBR258C,YLR015W,YPL138C,YBR175W,YHR119W,YAR003W,YDR469W}
25 : size: 7 :{YJR065C,YIL062C,YLR370C,YNR035C,YDL029W,YBR234C,YKL013C}
